asn_name,avg_response_time_seconds,domains_hosted,count
"AS17739 Shanghai Telecom Haplink Network Co., Ltd",960,29,1
AS17753 INTERNET SERVICE PROVIDER,3720,138,1
AS17809 VEE TIME CORP.,714300,123,1
AS12772 JSC ER-Telecom Holding,10956240,60,1
AS17426 Primesoftex Ltd,1614300,1415,1
AS132996 Threesa Infoway Pvt.Ltd.,9060,-1,1
AS16863 HOMESC,9948360,131,1
AS133255 Elxer Communications Private Limited,11640,54,1
AS134278 DNS Infonet Pvt Ltd,3246000,1,1
AS134067 Uniti Wireless Pty Ltd,45000,169,1
AS15491 JSC Silknet,11663640,248,1
AS15589 Clouditalia Telecomunicazioni S.p.A.,-1,3482,1
AS133982 Excitel Broadband Private Limited,838980,41,1
AS15706 Sudatel,2340,201,1
AS15836 Arax-Impex s.r.l.,8326500,259,1
AS15924 Vodafone Net Iletisim Hizmetleri Anonim Sirketi,3450660,4671,1
AS16044 IPORT LLC,11346300,-1,1
AS133774 Fuzhou,9419940,26829,1
AS16116 Pelephone Communications Ltd.,-1,31,1
AS133720 SOFT CALL CUST-O-CARE PRIVATE LIMITED,10980,33,1
AS133699 Ziptel IT Solutions Pvt Ltd,1080,-1,1
AS133652 Zapbytes Technologies Pvt. Ltd.,6061860,2,1
AS16342 Toya sp.z.o.o,5074260,848,1
AS1640 TGTEL,10884060,22,1
AS16495 CABLEAM-AZ-AS,-1,14,1
AS133469 Multinet (Udaipur) Private Limited,406260,14,1
AS16591 GOOGLE-FIBER,4870020,3698,1
AS16629 CTC. CORP S.A. (TELEFONICA EMPRESAS),793560,4244,1
AS133278 Dehradun Enet Solutions Private Ltd,23160,11,1
"AS9976 Namincheon Brodcasting Co., Ltd.",1119720,14,1
AS270592 new core tecnologia e informatica eirelli,3060,-1,1
AS19397 ACN-DIGITAL-PHONE,3000,45,1
AS43314 DIANET Ltd.,27840,166,1
AS47702 Teleradiocompany Discovery Ltd.,7030980,57,1
AS4739 Internode Pty Ltd,4620480,8869,1
AS47377 Orange Belgium SA,929220,216,1
AS47262 Hamara System Tabriz Engineering Company,458160,26,1
AS4638 Telecom Fiji Limited,5280,59,1
AS46353 INTERMAX-AS,6360,148,1
AS4609 Companhia de Telecomunicacoes de Macau SARL,2924520,1121,1
AS44821 One Operateur SAS,22020,7,1
AS44798 PP SKS-Pervomaysk,20760,1,1
AS44493 Chelyabinsk-Signal LLC,170160,3014,1
AS44391 JSC Elektrosvyaz,2146260,30,1
AS44270 TC TOR LLC,2173680,10,1
AS44265 Smoltelecom Ltd,2555820,293,1
AS44078 ICN Ltd.,10764780,59,1
AS44077 AM NET Ltd.,2084460,-1,1
AS43830 Digital Energy LLC,53340,485,1
AS43595 Ugresha Network Ltd.,4605480,243,1
AS43529 ViDaNet Cabletelevision Provider Ltd.,-1,53,1
AS43478 JSC ER-Telecom Holding,4656660,106,1
AS48004 PE Tsibrankov Konstantin Igorevich,400920,34,1
AS48096 Enterprise Cloud Ltd.,198120,5078,1
AS48161 Nextgen Communications Srl,11005440,841,1
AS50258 Teyla Ltd.,1767120,17,1
AS51102 IMPATT SRL,1973880,-1,1
AS50810 Mobin Net Communication Company (Private Joint Stock),16974600,235,1
AS50776 CJSC System Telecom,404580,4,1
AS50625 Krosnienskie Centrum Informatyczne KROSOFT,442860,36,1
AS50584 DOMINET Sp. z o.o.,4884600,955,1
AS50512 JSC ER-Telecom Holding,6204600,95,1
AS50473 Altagen JSC,6413460,956,1
AS50360 Tamatiya EOOD,1215180,684,1
AS49877 RM Engineering LLC,-1,71,1
AS48239 Scientific-Production Enterprise Information Technologies Ltd,143940,95,1
AS49147 ET ASNET - Altan Halim,4190460,-1,1
AS48909 CityLine LLC,1486860,14,1
AS48747 Lukovitnet Ltd.,-1,1,1
AS48592 Shabakeh Gostar Dorna Cooperative Co.,326460,18,1
AS48544 Tecnotel Servizi Tecnologici srl,339600,160,1
"AS48524 INTERRA telecommunications group, Ltd.",576600,172,1
AS48480 S.C. AltNet C.C. S.R.L.,-1,4,1
AS48437 PP Merezha,46680,8,1
AS43395 Pooya Parto Qeshm Cooperative Company,11040,22,1
AS43103 ONE TELECOM ltd,344940,201,1
AS35297 Dataline LLC,54300,73,1
AS42926 Radore Veri Merkezi Hizmetleri A.S.,3671940,122305,1
AS38091 LG HelloVision Corp.,5922480,1470,1
AS38019 tianjin Mobile Communication Company Limited,109320,251,1
AS3758 SingNet,539820,3934,1
AS37560 CYBERDYNE,850560,1003,1
AS37492 ORANGE,2754780,318,1
AS37342 MOVITEL,81060,25,1
AS37340 Spectranet,52920,15,1
AS37100 SEACOM-AS,1041000,3392,1
AS37027 SIMBANET-AS,19025400,26,1
AS36996 TELECOM-NAMIBIA,3013380,317,1
AS36992 Etisalat Misr,1537380,382,1
AS36941 MTDS-AS,48720,1148,1
AS36920 KKON,2487840,10,1
AS36666 GTCOMM,4530960,54897,1
AS36487 NEB-SANDHILLS-NET,10740,3,1
AS35816 Lancom Ltd.,12147600,224,1
AS35815 Center-Telekom LLC,3185820,80,1
AS35807 SkyNet Ltd.,4400160,1698,1
AS35516 Rostelecom,1431540,17,1
AS38103 T Broad,-1,9,1
"AS38684 CMB Daejeon Broadcasting Co,.Ltd",3306060,19,1
AS393227 RTCOL-INTERNET,1520220,58,1
AS4181 TDS-AS,6420,4850,1
AS42676 Joint Stock Company Smartkom,900,34,1
AS42610 Rostelecom,5285040,2819,1
AS42498 Gerkon LTD,728580,15,1
AS42314 fusion services,5788620,4,1
AS42291 OOO Istranet,1992180,149,1
AS42155 Evard Antennenbau AG,1733160,67,1
AS42003 Libantelecom,3960,53,1
AS41881 Fanava Group,1617240,6033,1
AS41668 JSC ER-Telecom Holding,3557340,293,1
AS393886 LEASEWEB-USA-MIA-11,23640,770,1
AS41268 LANTA Ltd,8267760,185,1
AS41209 MTS PJSC,-1,52,1
AS40545 EMPIRE-40545,-1,271,1
AS39927 E-Light-Telecom Ltd.,6629160,482,1
AS39869 Livenet Sp. z o.o.,1677300,4247,1
AS396122 BEC-FIBER,8696100,83,1
AS394380 LEASEWEB-USA-DAL-10,38520,2056,1
AS394256 CLOUDSINGULARITY,10680,13,1
AS51156 OngNet Plus LLC,3334980,-1,1
AS51336 Gemzo information technology Private Joint-Stock company,17517840,43,1
AS51477 Teleradiokompaniya Kandalaksha Ltd,13602480,4,1
AS51624 21 Century Telecom Ltd,-1,-1,1
AS7418 TELEFONICA CHILE S.A.,95520,309,1
AS7029 WINDSTREAM,1057320,25737,1
AS6910 Digital Cable Systems S.A.,1584900,648,1
AS6876 TENET Scientific Production Enterprise LLC,3471360,1406,1
AS6871 British Telecommunications PLC,3160740,20794,1
"AS6855 Slovak Telecom, a. s.",7703580,3204,1
AS6821 Makedonski Telekom AD-Skopje,6961380,1941,1
"AS6739 Vodafone Ono, S.A.",1338300,14793,1
AS6712 TVP Format Llc,294600,44,1
AS6697 Republican Unitary Telecommunication Enterprise Beltelecom,1728900,84219,1
AS64200 VIVIDHOSTING,-1,152,1
"AS6412 KW KEMS Block-A, Floor 7, Souq Al-Kabeer Kuwait City, State of Kuwait P O Box 3623, Safat 130",19741680,593,1
AS64111 INFORMATICA BLUEHOSTING LIMITADA,221640,-1,1
AS6400 Compania Dominicana de Telefonos S. A.,1249980,2287,1
AS63969 Race Online Limited,-1,150,1
AS6389 BELLSOUTH-NET-BLK,405180,10206,1
AS63859 PT. Eka Mas Republik,9581520,452,1
AS63612 Shenzhen Qianhai bird cloud computing Co. Ltd.,303960,7637,1
AS6280 SYNAPSE,7800,250,1
AS7459 GRANDECOM-AS1,11639040,2225,1
"AS7470 TRUE INTERNET Co.,Ltd.",1239660,2358,1
AS7489 HostUS,1074360,53096,1
AS8866 Vivacom,2577900,2075,1
"AS9931 The Communication Authoity of Thailand, CAT",1508580,2064,1
AS9698 LG HelloVision Corp.,1333980,12,1
"AS9658 Eastern Telecoms Phils., Inc.",110040,613,1
AS9597 KDDI Web Communications Inc.,512820,78455,1
AS9541 Cyber Internet Services (Pvt) Ltd.,524100,686,1
AS9498 BHARTI Airtel Ltd.,12822240,3732,1
AS9471 ONATI,41040,550,1
AS9370 SAKURA Internet Inc.,896640,305570,1
AS8767 M-net Telekommunikations GmbH,913740,36163,1
AS7562 HCN Dongjak,2578620,61,1
AS8697 Jordan Telecommunications Company,21240,30,1
AS8560 1&1 Ionos Se,1112100,10725572,1
AS855 CANET-ASN-4,5915880,2493,1
AS8492 OBIT Ltd.,9131880,763,1
AS8470 JSC Macomnet,609120,1016,1
AS8426 Claranet Limited,867600,102001,1
AS8374 Polkomtel Sp. z o.o.,974820,481,1
AS812 ROGERS-COMMUNICATIONS,5964120,19924,1
AS62347 MTS PJSC,156960,29,1
AS62282 UAB Rakrejus,1298280,192190,1
AS62000 Netrix SAS,380220,3889,1
AS52679 VIRTUAL NET SERVICOS DE INFORMATICA LTDA - ME,25860,3,1
AS5639 Telecommunication Services of Trinidad and Tobago,17880,109,1
"AS5610 O2 Czech Republic, a.s.",4284480,7749,1
AS55714 Fiberlink Pvt.Ltd,304500,36,1
AS55430 Starhub Ltd,606420,2311,1
AS55341 51/A RACHNA MIDAS GOKULPETH,18360,8,1
AS5466 Eir Broadband,912660,1038,1
AS53089 IDC TELECOM EIRELLI,7691880,2,1
AS52715 SCORPION TELECOMUNICACAO RIBEIRAO PRETO LTDA - ME,180,"ASN
AS52715    1
AS52715    1
Name: domains, dtype: int64",1
AS52602 SKORPION SISTEMA DE TELECOMUNICACOES LTDA,600,4,1
AS56639 Private Entrepreneur Saranchuk Mykola Mykolayovych,-1,6,1
AS52537 microplan informatica ltda.,3397260,"ASN
AS52537    1
AS52537    1
Name: domains, dtype: int64",1
AS52519 rodrigo przybycien,1755240,-1,1
AS52496 COOPERATIVA DE SERVICIOS MULTIPLES REG,250440,36,1
AS52354 Atlantica Video Cable S.A.,549180,2,1
AS52078 Martel Marta Bienia,840,7,1
AS52015 Dancer LLC,1106280,32,1
AS51836 Pioner-Lan Ltd.,4165860,13,1
AS51737 Super Link Communications Co. Ltd,3867720,8,1
AS56433 LocalNet Ltd.,1665720,71,1
AS57033 TVCOM Ltd.,5480280,12,1
AS61914 Roberto Keller - ME,734340,-1,1
AS58966 Benchmark Infotech Services Pvt.Ltd.,600,61,1
AS61818 Miriam dos Santos Oliveira ME,1860,-1,1
AS61714 Core3 Solucoes em Tecnologia EIRELLI-ME,13140,-1,1
AS6147 Telefonica del Peru S.A.A.,733980,1448,1
AS61204 Net-tv Systems Srl,5640720,-1,1
AS60631 Pars Parva System Co. Ltd.,1183560,32176,1
AS6057 Administracion Nacional de Telecomunicaciones,1620120,8979,1
AS59734 Inet.ru Ltd.,2862480,22,1
AS59713 JSC ER-Telecom Holding,261420,71,1
AS58678 Intech Online Private Limited,8207700,81,1
AS57044 JSC ER-Telecom Holding,-1,139,1
AS58563 CHINANET Hubei province network,2261700,3178,1
AS57888 Telesat d.o.o.,7544700,"ASN
AS57888    1
AS57888    1
AS57888    1
Name: domains, dtype: int64",1
AS57800 Cadr-TV LLE TVRC,-1,14,1
AS57630 84 Grams AB,3780,-1,1
AS57311 Fop Iliushenko Volodymyr Olexandrovuch,135240,829,1
AS57269 Digi Spain Telecom S.l.u.,1353780,264,1
AS57096 GlobalAsia Telecom Ltd,21000,15,1
AS57069 Dempsey and Clark s.r.o.,223380,216,1
AS35378 Sat Film Sp. z o.o. i Wspolnicy Sp. k.,10888860,370,1
AS35104 JSC Kaztranscom,2351220,574,1
AS19624 SERVERROOM,794700,860,1
AS24309 Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA,2497920,901,1
AS263110 Louvetel Comunicacao Comercial Ltda ME,3714780,13,1
AS263089 V de M Vargas,1200,-1,1
AS263009 FORTE TELECOM LTDA.,840,9,1
AS262872 DIGICONTROL SERVICOS DE PROVEDORES LTDA,1200,2,1
AS262862 PR TELECOMUNICACOES LTDA,-1,4,1
AS262851 PLIM TELECOMUNICACOES LTDA-ME,1145220,8,1
AS262779 Rede Exitus Ltda,28560,3,1
AS262773 OndaNet Ltda,4709760,-1,1
AS26277 PREMIANET,556980,8381,1
AS262729 Telemidia Sistema de Telecomunicacao Ltda,-1,95,1
AS262659 ULTRAWAVE TELECOM,800400,25,1
AS262591 CONECTION SERVICOS DE VALOR ADICIONADO LTDA,2956140,148,1
AS262532 VAS Freitas Servicos de Internet Ltda,5731860,"ASN
AS262532    2
AS262532    2
Name: domains, dtype: int64",1
AS262530 Quality Net,-1,-1,1
AS262452 VCNETWORK SOLUCOES TECNOLOGICA,2220,-1,1
AS262327 High Tech Informatica Ltda,639840,1,1
AS26166 WATCHCOMM-WEST-OH,3826500,66,1
AS2518 BIGLOBE Inc.,1717020,1519,1
AS25071 RadioCom Ltd,2100,81,1
AS263131 Crvnet Comunicacoes Junqueira e Guimaraes ltda,209280,-1,1
AS263373 GigaNet Telecom,823380,10,1
AS263432 CORPORATIVA TELECOMUNICACOES EIRELI ME,748860,2,1
AS265989 T. GARCIA COMUNICACOES - ME,1619580,4,1
AS266761 VICENTE CLAUDIO ORLANDO,145320,-1,1
AS266759 BIT2NET S.A,-1,-1,1
AS266628 CYBER LITORAL INFORMATICA LTDA - ME,3913380,-1,1
AS266472 ENTRE RIOS SERVICOS DE INFORMATICA LTDA - ME,3300,-1,1
AS266242 VIANET GUARACIAMA EIRELI ME,-1,1,1
AS26615 TIM S/A,2940,498,1
AS266144 Rosana Ferreira da Silva Multimidia ME,22740,-1,1
AS266033 rafael luciano fal & cia ltda,5340,-1,1
AS265867 Trans Ocean Network,1816920,1,1
AS263492 VIPMAX INTERNET LTDA,7582380,-1,1
AS265831 SOC. COMERCIAL WIRENET CHILE LTDA.,1122540,39097,1
AS265276 SPEED_MAAX BANDA LARGA LTDA - ME,1920,-1,1
AS265065 Ribernet Comunicacoes Ltda,6300,-1,1
AS264938 Online TELECOM,11280,-1,1
AS264934 VGP INTERNET LTDA - ME,4620,-1,1
AS264870 Ipnet Comunicacoes LTDA,2220,-1,1
AS264851 IFOTONCORP S.A.,524040,-1,1
AS263993 AUTOFAST SOLUCOES EM TECNOLOGIA LTDA,7200,1,1
AS24589 Telenet SIA,523140,1562,1
AS24165 UNION BROADBAND NETWORK,20488260,"ASN
AS24165    6
AS24165    6
Name: domains, dtype: int64",1
"AS35100 Patrik Lagerman WEB, Enskild Firma",-1,868,1
AS23889 MauritiusTelecom,5896440,308,1
AS203877 Astra Telekom Doo Beograd,325080,356,1
AS203557 DataClub S.A.,202080,"ASN
AS203557    16
AS203557    16
Name: domains, dtype: int64",1
AS203217 Horizon Scope Mobile Telecom WLL,16949340,12,1
AS20257 FTC-INET,247320,97,1
AS202422 G-Core Labs S.A.,162360,2028,1
AS200615 oneCorp Systems,270480,817,1
AS20018 MVT-AS,4916580,51,1
AS200064 Red digital de telecomunicaciones de las Islas Baleares S.L,383100,10,1
AS19994 RACKSPACE,623160,274988,1
"AS199853 Telecable Murcia, S.L.",-1,2,1
AS199524 G-Core Labs S.A.,61020,10660,1
AS199494 ETTH Bartosz Bachowski,18360,36,1
AS199473 Barnet,634920,-1,1
AS199319 Voice-Net S.A.,11534640,90,1
"AS197809 Audio Systems s.c. Robert Grzegorek, Aleksander Cuprych",479280,-1,1
AS197275 Link Telecom NN Ltd.,58440,15,1
AS197078 Yarnet Ltd,15360,204,1
AS196921 Wireless Mobile Data Company,9189180,7,1
AS196740 Teleradiocompany TeleLan LLC,30120,"ASN
AS196740    6
AS196740    6
Name: domains, dtype: int64",1
AS20394 MASHELL-TELECOM,196800,380,1
AS204725 UA VPS LLC,1081140,26,1
AS205768 Fiberix Iletisim Hizmetleri Ltd. Sti.,3714300,-1,1
AS21050 Fast Telecommunications Company W.L.L.,1855440,683,1
"AS23724 IDC, China Telecommunications Corporation",1134480,62965,1
AS22667 VISTA,22860,237,1
AS22647 ELLTEL,57720,19,1
AS21804 ACCESS-SK,5412060,526,1
AS21570 ACI-1,2100,564,1
AS21409 Ikoula Net SAS,258060,43383,1
AS21145 IBC Israel Broadband Company Ltd,42240,3,1
"AS21127 JSC Zap-Sib TransTeleCom, Novosibirsk",965520,711,1
AS21021 Multimedia Polska S.A.,1319880,966,1
AS206262 TelKos L.L.C,1718280,32,1
AS210075 FHU GUMIS Michal Gluminski,15300,-1,1
AS209280 SmartHosten,168060,626,1
AS20857 Transip B.V.,739320,962768,1
AS208473 Furrera For Telecommunication & Internet Services Co. Private Shareholding Company,-1,29,1
AS208410 Internet Hosting LTD,39600,-1,1
AS207566 Hostway LLC,1323480,6,1
AS206429 CORSAT s.r.o,64080,4,1
AS206264 Amarutu Technology Ltd,57660,3238,1
AS267015 EMPRESA DE SERVICOS ADM. DE ITUBERA LTD,2765520,1,1
AS267091 SANTI & ALMEIDA LTDA - ME,1939560,2,1
AS267186 L AGENOR DE MELO - ME,6193080,2,1
AS267248 AIPEER TELECOMUNICACOES,25440,1,1
AS31163 PJSC MegaFon,31035540,104,1
AS31133 PJSC MegaFon,784500,1548,1
AS31036 JSC ER-Telecom Holding,7104780,234,1
AS31029 M-REAL NET Ltd.,11390580,13,1
AS30836 23VNet Kft.,1156320,10995,1
AS30083 AS-30083-GO-DADDY-COM-LLC,164760,113039,1
AS29914 MIDATL-3,355020,63,1
AS29614 VODAFONE GHANA AS INTERNATIONAL TRANSIT,2556660,82,1
AS29420 NetAssist LLC,-1,91,1
AS29357 National Mobile Telecommunications Company,6175920,223,1
AS29314 Vectra S.A.,306480,883,1
AS29247 Cosmote Mobile Telecommunications S.A.,652200,7,1
AS29226 JSC Mastertel,4674180,759,1
AS29165 Aridor Communications Ltd,3254940,112,1
AS29124 Iskratelecom CJSC,3865740,811,1
AS29084 Comnet Bulgaria Holding Ltd.,281580,187,1
AS29056 Citycom Telekommunikation GmbH,440400,1376,1
AS28665 Predlink Rede de Telecomuniccoes Ltda,5880,53,1
AS28661 HOTLINK INTERNET LTDA,13437000,817,1
AS31195 PJSC MegaFon,-1,59,1
AS31205 PJSC MegaFon,4426080,21,1
AS31246 SMART Comp. a.s.,225420,1142,1
AS34083 Arpinet LLC,6493380,28,1
AS34977 Procono S.A.,3141060,270,1
AS34971 Prometeus di Daniela Agro,225360,37182,1
AS34797 System Net Ltd,27444360,108,1
AS34772 NEOTEL DOO export-import Skopje,3429300,604,1
AS34723 Real Network and Tel SRL,5647380,29,1
AS34661 TOV TRK Briz,3240960,97,1
AS34619 Cizgi Telekomunikasyon Anonim Sirketi,2262060,467008,1
AS34187 LLC Renome-Service,1414740,8945,1
AS34058 Limited Liability Company lifecell,12660,34,1
AS3216 PVimpelCom,1869600,5498,1
AS33588 BRESNAN-33588,7770840,1500,1
AS33387 NOCIX,1601640,192055,1
AS32860 CATS-NET-NETWORK,9193740,50,1
AS3280 LayerBridge SRL,18688320,309,1
AS327805 Bundu-NetworX,318480,"ASN
AS327805    1
AS327805    1
Name: domains, dtype: int64",1
AS3249 Telia Eesti AS,4335180,11075,1
AS32233 PERSONA,208440,84,1
AS3223 Voxility LLP,1916520,141993,1
AS28624 PROVEDORA CMA INTERNET LTDA,4520400,26,1
"AS28438 ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.",130740,51,1
AS28361 RR conect,3030240,4,1
AS268248 UPNETIX TELECOM,1440,4,1
AS269649 R L DE LIMA,47400,-1,1
AS268720 MegaNet Fibra Optica Cacu,3300,-1,1
AS268588 J.LP FONSECA TELECOM,-1,-1,1
AS268565 Odete A dos Santos ME,-1,"ASN
AS268565    1
AS268565    1
Name: domains, dtype: int64",1
AS268560 VIPTELECOM INTERNET BANDA LARGA EIRELI - ME,1284420,2,1
AS268399 ARAUJO & SILVA - ME,3360,-1,1
AS268377 LOCALNET TELECOM LTDA,532860,1,1
AS268323 AZZA TELECOM SERVICOS EM TELECOMUNICACOES LTDA,6018000,-1,1
AS268228 PEDRO ARAUJO DO NASCIMENTO NETO,2760,-1,1
AS27017 ZIPLY-FIBER-LEGACY-ASN,9982620,3024,1
AS268224 TCPNET INFORMATICA E COMUNICACAO EIRELI - ME,2280,"ASN
AS268224    6
AS268224    6
Name: domains, dtype: int64",1
AS268157 CX PRATES JUSTILIANO TELECOMUNICACOES - ME,3420,-1,1
AS268143 MOC INTERNET LTDA,1320,-1,1
AS267953 BNET SOLUCOES EM INTERNET LTDA-ME,1299960,-1,1
AS267516 Company Telecom Ltda,3060,-1,1
AS267484 TVC de Assis S/C Ltda,-1,3,1
AS267278 ALLYSON DINIZ MELO - ME,1860,"ASN
AS267278    1
AS267278    1
Name: domains, dtype: int64",1
AS267270 MV COMUNICACOES LTDA - ME,-1,-1,1
AS269725 ACAS TECNOLOGIAS S.A.,374280,-1,1
AS270295 MVM INTERNET FIBRA OPTICA,1740,-1,1
AS28343 Unifique Telecomunicacoes SA,3060840,3391,1
AS28006 CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,5504340,594,1
AS28326 Total Telecom LTDA-ME,-1,-1,1
AS28250 TELBRAX LTDA,-1,235,1
AS28212 DGNet Telecom,641340,45,1
AS28201 Companhia Itabirana Telecomunicacoes Ltda,115560,57,1
AS28146 MHNET TELECOM,2847540,145,1
AS28126 BRISANET SERVICOS DE TELECOMUNICACOES LTDA,593940,91,1
AS28118 ALTICE DOMINICANA S.A.,3038820,142,1
AS28093 Cooperativa de Electricidad y Servicios Publicos de Arroyito Ltda,1171800,8,1
AS27884 CABLECOLOR S.A.,12457440,204,1
"AS9971 TBROAD Dongdaemun cable networks,Inc.",20257200,-1,1
AS27866 CO.PA.CO.,2398800,141,1
AS27831 Colombia Movil,7194120,134,1
AS27773 MILLICOM CABLE EL SALVADOR S.A. DE C.V.,8007720,90,1
AS27665 Columbus Communications Trinidad Limited.,29040,149,1
AS27202 CBK-AS,6617460,87,1
AS270972 NET ONE TELECOM LTDA - ME,1140,-1,1
AS270832 DANTAS & ARAGAO LTDA,3780,1,1
AS270609 Lucas Aparecido Bernardo -ME,2520,-1,1
AS10029 SHYAM SPECTRA PVT LTD,762000,1059,1
